#         t          m          x          y          z         vx         vy         vz
    400.000      0.008     -3.488      9.507     -2.306    148.035    129.225    -85.428
    400.000      0.008      0.075      1.046     -1.490     31.734     37.396    129.998
    400.000      0.008     11.442      6.358      1.433     -4.195   -134.294     71.880
    400.000      0.008      1.741      2.569     -1.161    174.613     56.120     41.002
    400.000      0.008     -7.246     -2.905      0.240     72.460    211.297    -97.080
    400.000      0.008     -1.945    -12.589      3.931   -110.550     91.342    -31.978
    400.000      0.008     -3.839     10.067     -2.805    185.934    -31.982     18.322
    400.000      0.008      1.170      0.623      0.426    275.511     13.102   -134.568
    400.000      0.008      2.543      0.700      0.371     36.351    -21.965      4.225
    400.000      0.008      3.580     -1.113     -0.463    -86.112   -127.517     -2.817
    400.000      0.008     -0.303      2.252      0.219    184.669     28.366    109.877
    400.000      0.008      0.022     -0.278      0.931    139.146    196.947   -201.291
    400.000      0.008    -28.236    -17.646    -12.407    -62.833     87.221    -85.167
    400.000      0.008      0.662      1.430     -0.273    -19.811    163.785   -107.955
    400.000      0.008     -2.329     -2.260      0.415   -273.048    183.201   -108.082
    400.000      0.008      1.335      1.245      0.994     60.086   -135.259    -15.075
    400.000      0.008      1.194      0.753      0.519   -179.942   -113.350   -209.910
    400.000      0.008      0.037      1.264      0.196     63.757    329.647   -139.358
    400.000      0.008      8.907      3.331      0.742      4.632   -183.773    115.193
    400.000      0.008     -7.532      1.055      1.524     93.262     93.569    -97.932
    400.000      0.008      0.161      0.585     -0.461    231.913   -243.375     97.109
    400.000      0.008     -0.365      0.065     -0.079   -297.859     53.685    -35.809
    400.000      0.008     14.235     18.924     15.191    -26.548   -153.924     85.830
    400.000      0.008    -12.175    -25.311      2.947   -135.538     71.226   -117.626
    400.000      0.008      1.692     17.574     -1.551    175.641     88.285     23.839
    400.000      0.008     -2.048     -1.052     -1.126    101.101    149.269    -66.410
    400.000      0.008      1.552      0.372      0.364   -110.226   -175.952    208.916
    400.000      0.008     -2.140    -13.729      3.938   -116.345     51.158    -42.740
    400.000      0.008     -1.246     12.195     -1.087    117.654      0.595    -45.624
    400.000      0.008     -1.870      0.404      1.131    -71.514    138.360    -43.767
    400.000      0.008     -1.009      3.029     -1.256    128.758    182.609    -45.332
    400.000      0.008      2.080     17.585     -4.463    166.302    105.556    -30.401
    400.000      0.008     -2.900     13.715     -6.266    189.361     73.305     33.640
    400.000      0.008     13.191     -7.420      7.874    -99.639   -112.436     46.302
    400.000      0.008      1.183      3.692     -1.344    225.132   -114.758     54.326
    400.000      0.008    -11.523     -1.550     -0.470    -56.224     88.035    -22.396
    400.000      0.008      0.705     -1.457      0.030   -120.715     75.972   -106.509
    400.000      0.008     15.127     -7.143      6.513    -96.217    -85.832     52.415
    400.000      0.008    -33.043    -13.125    -15.888     31.444     88.927    -73.014
    400.000      0.008      0.649     -3.089      2.624   -249.023     -8.019     57.294
    400.000      0.008      1.453      0.877      0.615    -75.657   -193.433    140.252
